iter	RMSE
0	0.382996429
1	0.3737494449
2	0.364712104
3	0.3564494297
4	0.3482479404
5	0.3407379296
6	0.3328976471
7	0.3261433622
8	0.3194580661
9	0.3124304777
10	0.3060873061
11	0.2999228944
12	0.2937481401
13	0.287610746
14	0.2817934544
15	0.2764091812
16	0.270725377
17	0.2654648641
18	0.26063097
19	0.2554295294
20	0.2511693808
21	0.2464982029
22	0.2422389055
23	0.2381168063
24	0.2337615974
25	0.2299291526
26	0.2262273189
27	0.2226287878
28	0.219075721
29	0.2156251986
30	0.2120107273
31	0.2089229078
32	0.2058130258
33	0.203035796
34	0.2003054312
35	0.1975761797
36	0.1947987155
37	0.1923741638
38	0.1898867246
39	0.1875835358
40	0.1849939038
41	0.1828402037
42	0.1808230062
43	0.178588076
44	0.1764369548
45	0.1743937356
46	0.1724472763
47	0.1706816157
48	0.1688384721
49	0.1666532483
50	0.1652659681
51	0.1636149883
52	0.1619204779
53	0.160406315
54	0.1589387051
55	0.157506925
56	0.1560910836
57	0.1548382672
58	0.1536411196
59	0.1526052639
60	0.1513117558
61	0.1502503499
62	0.1491112878
63	0.147886411
64	0.1468044924
65	0.145671552
66	0.1445765921
67	0.1437619511
68	0.1427792933
69	0.1418035227
70	0.1407556631
71	0.13971434
72	0.1388747378
73	0.1379737361
74	0.1371758064
75	0.1364440699
76	0.1356962207
77	0.1349743006
78	0.1340296128
79	0.1333511632
80	0.132602661
81	0.1317554123
82	0.1310122261
83	0.1301717193
84	0.1294643371
85	0.1288318585
86	0.1283274513
87	0.1277766641
88	0.1272124989
89	0.1265246041
90	0.125952904
91	0.1254050119
92	0.1249267391
93	0.1243774559
94	0.1239047998
95	0.1234241196
96	0.1227596647
97	0.1221894756
98	0.1216867292
99	0.1211418763
100	0.1207582317
101	0.1201796756
102	0.1197177884
103	0.119029059
104	0.1186428328
105	0.1181362384
106	0.1176678202
107	0.1171760237
108	0.1168322791
109	0.1165056054
110	0.1160230368
111	0.1155731803
112	0.1150427985
113	0.1146913591
114	0.1143041639
115	0.1139777968
116	0.1135888791
117	0.1132142277
118	0.112927345
119	0.1126304584
120	0.1123009862
121	0.1119297227
122	0.1115988599
123	0.1112439347
124	0.110885587
125	0.110605855
126	0.1102969581
127	0.1099778194
128	0.1095806829
129	0.109360193
130	0.1089547432
131	0.1085551955
132	0.1082325659
133	0.1079581898
134	0.1076242477
135	0.1073707401
136	0.1070006568
137	0.106642034
138	0.1063873087
139	0.106082915
140	0.1057502341
141	0.1054210772
142	0.1051739159
143	0.1049567675
144	0.1047444857
145	0.1045591318
146	0.1043222224
147	0.1039935266
148	0.1037349028
149	0.1035149362
150	0.103354784
151	0.1031156688
152	0.1028787421
153	0.1026663927
154	0.1024358814
155	0.102104067
156	0.1018950644
157	0.1016351155
158	0.1013661579
159	0.1011552941
160	0.1008485233
161	0.1007839656
162	0.1006243318
163	0.1004045883
164	0.1002064761
165	0.1000120129
166	0.09981341633
167	0.09962633929
168	0.09935430766
169	0.09912797986
170	0.09890875987
171	0.09876935155
172	0.09855430187
173	0.09833701769
174	0.09812537331
175	0.09793696685
176	0.09767463745
177	0.09740872158
178	0.09715917784
179	0.09699761648
180	0.09685226056
181	0.09663333142
182	0.09637818394
183	0.09614536328
184	0.09594844554
185	0.09577197877
186	0.09560298911
187	0.09542714582
188	0.09514824693
189	0.09496388352
190	0.09468730356
191	0.09449300768
192	0.09425010839
193	0.09406927996
194	0.09386383761
195	0.09364486864
196	0.09343916647
197	0.09325727058
198	0.09305089479
199	0.09281604843
200	0.09259186938
201	0.09240434594
202	0.09220507265
203	0.09196767455
204	0.09175232915
205	0.09154602798
206	0.09128978808
207	0.09098023983
208	0.09083282716
209	0.09066864769
210	0.09042317764
211	0.09027237809
212	0.09011619769
213	0.08993956743
214	0.08972526215
215	0.08958515863
216	0.08945732093
217	0.08930828395
218	0.08911171163
219	0.08886872485
220	0.08867853511
221	0.08853205654
222	0.08832447591
223	0.08806172182
224	0.08788272959
225	0.08774678737
226	0.08745603777
227	0.08725702106
228	0.08707574301
229	0.08693878809
230	0.08676902317
231	0.08659234753
232	0.08647737523
233	0.08628084554
234	0.0860553539
235	0.08590904408
236	0.08563543766
237	0.08550394553
238	0.08536683166
239	0.08522847063
240	0.08510700965
241	0.08491222614
242	0.08469078755
243	0.08455121965
244	0.08436345902
245	0.08419088507
246	0.08399683415
247	0.08380575508
248	0.08357260135
249	0.08348776052
250	0.08340876722
251	0.08323461717
252	0.08305304365
253	0.08288126327
254	0.08263115682
255	0.08250527994
256	0.08234195259
257	0.08218142804
258	0.08206944111
259	0.08191978903
260	0.08176789135
261	0.08159096576
262	0.08150668305
263	0.08130170436
264	0.08109805355
265	0.08089522225
266	0.08068752241
267	0.08053291982
268	0.08045757137
269	0.08032787488
270	0.08021561451
271	0.08005307664
272	0.07991366918
273	0.07972357809
274	0.0796151851
275	0.0793443647
276	0.07927351387
277	0.07906063214
278	0.07892239677
279	0.0787378377
280	0.07858929503
281	0.07838584056
282	0.07831642611
283	0.07814042062
284	0.07794958007
285	0.07781784338
286	0.07769497039
287	0.07754251802
288	0.07736081001
289	0.07727340479
290	0.07708188396
291	0.07689805828
292	0.07675728295
293	0.07659182427
294	0.07643559528
295	0.0762668084
296	0.07606037329
297	0.07596880639
298	0.07582904699
299	0.07563211628
300	0.07544079575
301	0.07530135792
302	0.07515888484
303	0.07502038231
304	0.07489586829
305	0.07472350958
306	0.07454356037
307	0.07440461605
308	0.07424554549
309	0.0740366147
310	0.07396959123
311	0.07374987704
312	0.07358539606
313	0.07340859649
314	0.07328590421
315	0.07321879546
316	0.0730553937
317	0.07295288406
318	0.07288717273
319	0.07276978638
320	0.07261529358
321	0.07248683672
322	0.07237377256
323	0.07226796648
324	0.07222540769
325	0.07206998707
326	0.07190848926
327	0.07179062667
328	0.0716891237
329	0.07162036158
330	0.07149224749
331	0.07139482922
332	0.07126865989
333	0.07113621678
334	0.07097010756
335	0.07085837314
336	0.07081785175
337	0.07066382692
338	0.070468725
339	0.07033890225
340	0.07020216747
341	0.07014221251
342	0.07007420682
343	0.0700195557
344	0.06986253038
345	0.0697488583
346	0.06957292842
347	0.06949538635
348	0.06934931637
349	0.06921273057
350	0.06914627701
351	0.06908421343
352	0.06891771435
353	0.06888309323
354	0.06884723823
355	0.06871738966
356	0.06856341427
357	0.06844982128
358	0.06824360678
359	0.06813960159
360	0.06802928212
361	0.06785451414
362	0.06766903029
363	0.06760914812
364	0.0674975553
365	0.06737532299
366	0.06721725211
367	0.06706228034
368	0.06692284062
369	0.06678120553
370	0.06662979578
371	0.06654218092
372	0.06636884581
373	0.06628756344
374	0.06617432872
375	0.06605678851
376	0.06602435911
377	0.06586040166
378	0.06570088123
379	0.06553765728
380	0.06538242597
381	0.06528066536
382	0.06514090636
383	0.0650193455
384	0.06486289855
385	0.06483757154
386	0.06473740094
387	0.06464231143
388	0.06448467934
389	0.06445490871
390	0.06438547775
391	0.06432649738
392	0.06419633664
393	0.0640233878
394	0.06392913966
395	0.06383924062
396	0.06368764456
397	0.0636174239
398	0.06356906745
399	0.0634243697
400	0.06334458325
401	0.06331302762
402	0.06316450453
403	0.0630987841
404	0.06297373709
405	0.06286003114
406	0.06273740425
407	0.06258049695
408	0.06246928639
409	0.0623598827
410	0.06225289758
411	0.06214482236
412	0.06203521345
413	0.06201564191
414	0.0618761714
415	0.06180508852
416	0.06169796588
417	0.06160908059
418	0.0615240927
419	0.06143834972
420	0.06133008123
421	0.06128497189
422	0.06116354409
423	0.06104920279
424	0.06100471169
425	0.06090622954
426	0.06080393763
427	0.06069789006
428	0.06064332114
429	0.06053154269
430	0.06042940304
431	0.06033549814
432	0.06031905561
433	0.0602196617
434	0.06009234161
435	0.05999167115
436	0.05997838205
437	0.05982621537
438	0.0596936635
439	0.05960385961
440	0.05952573401
441	0.05947220514
442	0.05935741329
443	0.05925256276
444	0.05918926227
445	0.05906871851
446	0.05898063078
447	0.05879085714
448	0.05877277207
449	0.05875361239
450	0.05861354087
451	0.05847021335
452	0.05837609368
453	0.05823785018
454	0.05811920223
455	0.05805534879
456	0.05794935843
457	0.05784755082
458	0.05779693027
459	0.05775928759
460	0.05770281603
461	0.05762701747
462	0.05760269754
463	0.05756247932
464	0.05747755047
465	0.05741074457
466	0.05736264601
467	0.05723060885
468	0.05714518945
469	0.05706490655
470	0.05703188233
471	0.05695074374
472	0.05687276334
473	0.05676019467
474	0.05667781074
475	0.05657257246
476	0.05651466307
477	0.05637539683
478	0.05635543185
479	0.05634151089
480	0.05624768255
481	0.05615426474
482	0.0560654229
483	0.05597350689
484	0.0558685365
485	0.05572314257
486	0.05557967034
487	0.05556875247
488	0.05547631559
489	0.05546574764
490	0.05538947332
491	0.05537785564
492	0.05532446048
493	0.0553145864
494	0.0552662719
